Goal Groups,Goal,Parameter,Process Description
,,,
Waiting Time Related Goals,Reduce waiting time,Increase number of resources,"The paper describes a discrete event simulation (DES) modeling process for improving emergency department (ED) CT access times in a large academic medical center with six unique CT machines serving multiple patient types.
Location: Saint Marys Hospital, Mayo Clinic, Rochester, Minnesota Department: Radiology - CT Scanning Resources:
        •        6 CT machines (each with different capabilities - not all can do all exam types)
        •        External transporters (shared across entire hospital)
        •        Internal transporters (dedicated to radiology only)
        •        Holding bays (waiting areas inside radiology)
Patient Types: Emergency (ED), Outpatients (scheduled), Inpatients (semi-scheduled) Volume: 10,000+ patients over 10 months Hours: 24/7 for ED/inpatients, business hours for outpatients
Current Performance:
        •        ED patient average wait: 58.8 minutes from order to scan
        •        Goal: Under 30 minutes for all ED patients
        •        National guideline for stroke: Under 25 minutes
        •        Currently achieving goal only 70% of time
Process Flow
Category 1: ED Trauma/Stroke Patients (Highest Priority)
        1        Patient arrives at emergency department with urgent condition (car accident, stroke symptoms, severe trauma)
        2        ED doctor examines patient and orders CT scan immediately
        3        System checks which CT machines are available and compatible with exam type needed
        4        Transport request sent to external transporter
        5        Transporter travels to ED, picks up patient (average: 13.6 minutes)
        6        Patient brought to CT room
        7        CT scan performed
        8        Patient returns to ED for treatment
No lab tests required - emergency fast track
Category 2: ED Non-Trauma Patients (Medium Priority)
        1        Patient arrives at emergency department (severe abdominal pain, suspected internal issues - urgent but not immediately life-threatening)
        2        ED doctor orders CT scan AND blood tests
        3        Nurse draws blood samples
        4        Blood sent to lab for testing (including creatinine test for kidney function)
        5        WAIT for lab results - creatinine test is slowest in 17% of patients (10-30+ minutes)
        6        Lab results complete and appear in computer system
        7        15-minute delay - busy ED nurse checking multiple patients, eventually notices labs are done
        8        Nurse reviews results, confirms safe for contrast dye, signals patient is cleared
        9        Transport request sent to external transporter
        10        Transporter travels to ED, picks up patient (average: 13.6 minutes)
        11        Patient brought to CT room
        12        CT scan performed (contrast dye administered)
        13        Patient returns to ED
Total average time: 61.8 minutes
Category 3: Outpatients (Lower Priority - Scheduled)
        1        Patient scheduled appointment days/weeks in advance for specific date and time
        2        Patient arrives at radiology department and checks in
        3        Staff takes patient to holding bay (preparation area inside radiology)
        4        Nurse reviews patient's pre-existing lab results and medical history (done before appointment)
        5        Nurse confirms safe for CT scan
        6        Patient waits if ED patients arrive (ED has priority)
        7        CT machine becomes available
        8        Transport request sent to internal transporter
        9        Internal transporter moves patient from holding bay to CT room (average: 7.1 minutes - shortest distance)
        10        CT scan performed
        11        Patient returns to holding bay or checks out
        12        Patient goes home
Category 4: Inpatients (Lower Priority - Semi-Scheduled)
        1        Patient already hospitalized, doctor orders CT scan
        2        Patient given time window (e.g., ""between 2-4 PM today"")
        3        Nurse goes to patient's hospital room, performs safety assessment
        4        Patient waits in their hospital room (could be anywhere in hospital)
        5        When time window arrives and CT machine available, transport is requested
        6        External transporter travels to patient's room location
        7        Transporter picks up patient and brings to radiology (average: 27.5 minutes - longest distance because patient could be anywhere)
        8        CT scan performed
        9        Patient transported back to hospital room
Machine Specialization
NOT all CT machines can do all exams:
        •        All 6 machines: Abdomen, chest, trauma, bones (common exams)
        •        Only 5 machines (CT1-CT5): Brain scans, vascular imaging, biopsies
        •        Only 2 machines (CT3, CT5): Cardiac (heart) scans, brain blood vessels ← BOTTLENECK
        •        Only 2 machines (CT1, CT2): Long procedures (2-5 hours each)"
Reducing Cost Related Goals,Minimize operational costs,Increase number of resources,
Reduce Processing time Related Goals,Reduce lab processing time for patients,Reduce processing time of any activity,
,,,
Increasing Processing Capacity Related Goals,Increase processing capacity,Increase number of resources,"Setting: Kerem Abu Salem (KAS) security checkpoint between Israel and Gaza - humanitarian and commercial goods entry point for 2 million Gaza residents (2,000 trucks/week, 9 hours/day, 5 days/week)
Resources:
        •        4 main operational lanes (document validation, X-ray checking, cell area, Gaza staging area)
        •        41 total employees (10 validation, 9 X-ray, 14 cell area, 10 Gaza staging, various roles)
        •        11 outdoor cells (1 hectare each, 20 trucks capacity per cell)
        •        X-ray machine, dogs, hand scanners, forklifts, shuttle trucks
Operational Hours: 6 AM - 3 PM entry cutoff, 5 days/week (Sunday-Saturday), operations continue until sundown Volume: ~2,000 trucks per week (400 trucks/day average), arrival rate: 1 truck every 3 minutes Current Performance:
        •        Average cycle time: 3.05 hours/truck
        •        Average waiting time: 2.68 hours/truck
        •        Total distribution cost: $2.54M per week
Process Flow
All trucks (humanitarian and commercial) follow this process:
        1        Trucks arrive at checkpoint parking yard near entrance gates
        2        Park the truck - Wait in line to check in (average: 15 minutes)
        3        Driver walks to Israeli Authority Office to check truck number on board
        4        Driver obtains ""Taom"" document (describes cargo type and size)
        5        Check goods documents - Israeli security verifies Taom matches actual cargo (average: 5 minutes)
        ◦        If mismatch found (10% probability) → Truck rejected, returns to origin
        ◦        If match confirmed (90%) → Continue to next step
        6        Pay customs fees - Driver pays ~$200/truck plus other fees at designated window (average: 8 minutes)
        7        Scan the truck - Security officer randomly tests trucks using dogs and hand scanner (average: 10 minutes)
        ◦        No security concerns (85%) → Continue to cell area
        ◦        Security doubts (15%) → Diverted to X-ray machine
        8        X-ray machine scanning (for 15% of trucks) - Full truck scan (average: 15 minutes)
        ◦        Negative result (60% of scanned) → Continue to cell area
        ◦        Positive result (40% of scanned) → Search for illegal items
        9        Search for illegal items (if positive X-ray) - Forklift rearranges load (average: 30 minutes)
        ◦        Illegal items found (20%) → Truck confiscated
        ◦        No illegal items (80%) → Continue to cell area
        10        Enter Cell Area - Truck assigned to one of 11 cells (average subprocess: 45 minutes total)
        ◦        Categorize goods (food vs. non-food) by inspecting Taom (7 min)
        ◦        Unload goods from truck to cell floor (15 min)
        ◦        Security guard walks between pallets with small scan machine (8 min)
        ◦        Forklifts upload goods onto shuttle trucks (15 min)
        11        Transport to Gaza staging area - Shuttle trucks move goods (operate only between 6 AM - 3 PM, average: 10 minutes)
        12        Unload at Gaza staging area - Goods deposited (opens 3 PM - 6 PM, average: 15 minutes)
        13        Load on Palestinian trucks - Forklifts upload to Gaza-bound trucks (average: 15 minutes)
        14        Trucks depart via Philadelphia Corridor to final destinations in Gaza
Key Constraint: No direct contact between Israeli-side trucks and Gaza-side trucks (security separation)"
Increasing Processing Capacity Related Goals,Handle greatest number of trucks,Increase working hours,
Waiting Time Related Goals,Reduce average waiting time at security checkpoint,"Electronic queue management system added
Queue management / activity duration",
Waiting Time Related Goals,Reduce time-consuming manual processes,Reduce activity processing time,
,,,
